id;placed_date;status;invoice_id;code
1;2023-02-08T07:14:11;COMPLETED;11446;lavender
2;2023-02-08T10:52:11;CANCELLED;64871;e-enable one-to-one
3;2023-02-07T17:54:31;COMPLETED;91159;background out-of-the-box withdrawal
4;2023-02-07T16:08:04;COMPLETED;47588;Concrete
5;2023-02-07T21:10:30;CANCELLED;63689;Car hybrid Generic
6;2023-02-07T20:24:38;CANCELLED;37922;harness Hongrie Ukraine
7;2023-02-08T05:32:03;COMPLETED;15762;Visionary
8;2023-02-07T18:18:48;CANCELLED;1365;Credit Soft Cotton
9;2023-02-08T09:53:21;CANCELLED;52097;Implemented
10;2023-02-08T08:09:00;COMPLETED;61775;solution protocol
